list-card-addr,list-card-price,json_data,list-card-details,list-card-label 2,list-card-variable-text,list-card-link href 2,list-card-link src,json_data,list-card-extra-info,list-card-details 2,list-card-details 3,list-card-label 3,list-card-statusText,j
"81 Monitor St #3R, Brooklyn, NY 11222","$2,133/mo",bds,2,ba,10 days ago,https://www.zillow.com/homedetails/81-Monitor-St-3R-Brooklyn-NY-11222/2073177391_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""81 Monitor St #3r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""750""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""81 Monitor St #3R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72219,""longitude"":-73.942331},""url"":""https://www.zillow.com/homedetails/81-Monitor-St-3R-Brooklyn-NY-11222/2073177391_zpid/""}","LISTING BY: DOLORES BUONOCORE, LREB",1,750,sqft,#NAME?,Save this home
"181 Freeman St APT 1R, Brooklyn, NY 11222","$1,700/mo",bd,1,ba,11 days ago,https://www.zillow.com/homedetails/181-Freeman-St-APT-1R-Brooklyn-NY-11222/2073182384_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""181 Freeman St Apt 1r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""181 Freeman St APT 1R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.734728,""longitude"":-73.954357},""url"":""https://www.zillow.com/homedetails/181-Freeman-St-APT-1R-Brooklyn-NY-11222/2073182384_zpid/""}",LISTING BY: CORCORAN,1,--,sqft,#NAME?,Save this home
"183 Huron St #2R, Brooklyn, NY 11222","$2,700/mo",bd,1,ba,12 days ago,https://www.zillow.com/homedetails/183-Huron-St-2R-Brooklyn-NY-11222/2073202444_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""183 Huron St #2r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""183 Huron St #2R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.733335,""longitude"":-73.953855},""url"":""https://www.zillow.com/homedetails/183-Huron-St-2R-Brooklyn-NY-11222/2073202444_zpid/""}",LISTING BY: NOBLE PROPERTY LLC (646-625-9161),1,--,sqft,#NAME?,Save this home
"610 Manhattan Ave #2L, Brooklyn, NY 11222","$2,790/mo",bds,2,ba,12 days ago,https://www.zillow.com/homedetails/610-Manhattan-Ave-2L-Brooklyn-NY-11222/2073211585_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""610 Manhattan Ave #2l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""610 Manhattan Ave #2L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.723438,""longitude"":-73.950286},""url"":""https://www.zillow.com/homedetails/610-Manhattan-Ave-2L-Brooklyn-NY-11222/2073211585_zpid/""}","LISTING BY: BELVEDERE BRIDGE REALTY, LLC (718-416-1111)",1,--,sqft,#NAME?,Save this home
"977 Manhattan Ave, Brooklyn, NY","$3,000+",1 bd,,,12 days ago,https://www.zillow.com/b/977-manhattan-ave-brooklyn-ny-3mZW/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,,,
"352 Mcguinness Blvd APT 1L, Brooklyn, NY 11222","$2,495/mo",bd,1,ba,Open: Thu. 9am-7pm,https://www.zillow.com/homedetails/352-Mcguinness-Blvd-APT-1L-Brooklyn-NY-11222/2095328277_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""352 Mcguinness Blvd Apt 1l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""750""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""352 Mcguinness Blvd APT 1L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.734546,""longitude"":-73.95199},""url"":""https://www.zillow.com/homedetails/352-Mcguinness-Blvd-APT-1L-Brooklyn-NY-11222/2095328277_zpid/""}",LISTING BY: HOME BY CHOICE LLC (917-686-8748),1,750,sqft,#NAME?,Save this home
"189 Huron St APT 2F, Brooklyn, NY 11222","$2,400/mo",bd,1,ba,12 days ago,https://www.zillow.com/homedetails/189-Huron-St-APT-2F-Brooklyn-NY-11222/2092184531_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""189 Huron St Apt 2f, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""600""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""189 Huron St APT 2F"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.733361,""longitude"":-73.953587},""url"":""https://www.zillow.com/homedetails/189-Huron-St-APT-2F-Brooklyn-NY-11222/2092184531_zpid/""}",LISTING BY: GREENPOINT PROPERTIES (347-244-4239),1,600,sqft,#NAME?,Save this home
"154 Nassau Ave FLOOR 2, Brooklyn, NY 11222","$2,500/mo",bds,2,ba,12 days ago,https://www.zillow.com/homedetails/154-Nassau-Ave-FLOOR-2-Brooklyn-NY-11222/2073236641_zpid/,https://photos.zillowstatic.com/fp/1b719e30c228d1cb6887eed299291e29-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""154 Nassau Ave Floor 2, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""154 Nassau Ave FLOOR 2"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.724807,""longitude"":-73.94694},""url"":""https://www.zillow.com/homedetails/154-Nassau-Ave-FLOOR-2-Brooklyn-NY-11222/2073236641_zpid/""}",LISTING BY: NORTHSIDE PLAZA INC.,2,--,sqft,#NAME?,Save this home
"51 Newel St #3L, Brooklyn, NY 11222","$1,999/mo",bd,1,ba,13 days ago,https://www.zillow.com/homedetails/51-Newel-St-3L-Brooklyn-NY-11222/2073248330_zpid/,https://photos.zillowstatic.com/fp/12cfa5bbee2077f6bd211226a1888ece-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""51 Newel St #3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""51 Newel St #3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.724191,""longitude"":-73.947319},""url"":""https://www.zillow.com/homedetails/51-Newel-St-3L-Brooklyn-NY-11222/2073248330_zpid/""}","LISTING BY: PROPER REAL ESTATE, LLC (718-389-5833)",1,--,sqft,#NAME?,Save this home
"729 Meeker Ave, Brooklyn, NY","$2,850 ",4 bds,"$3,200 ",5 bds,13 days ago,https://www.zillow.com/b/729-meeker-ave-brooklyn-ny-3nzj/,https://photos.zillowstatic.com/fp/92a31de93a53dc59980b7cf2e8a04976-p_e.jpg,,,,,,,
"38 Broome St #2A, Brooklyn, NY 11222","$3,195/mo",bd,1,ba,13 days ago,https://www.zillow.com/homedetails/38-Broome-St-2A-Brooklyn-NY-11222/320252929_zpid/,https://photos.zillowstatic.com/fp/6778a2fca1f0578a2a3e22b514f25a22-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""38 Broome St #2a, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""640""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""38 Broome St #2A"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722097,""longitude"":-73.945564},""url"":""https://www.zillow.com/homedetails/38-Broome-St-2A-Brooklyn-NY-11222/320252929_zpid/""}",LISTING BY: BOND NEW YORK (212-582-2009 x550),1,640,sqft,#NAME?,Save this home
"108 Greenpoint Ave, Brooklyn, NY","$2,099+",1 bd,,,14 days ago,https://www.zillow.com/b/108-greenpoint-ave-brooklyn-ny-3mqt/,https://photos.zillowstatic.com/fp/44fc831de9b7bfdec4df6354a13b48ab-p_e.jpg,,,,,,,
"89 Greenpoint Ave APT 3A, Brooklyn, NY 11222","$2,300/mo",bd,1,ba,Open: Sat. 12:30-3:30pm,https://www.zillow.com/homedetails/89-Greenpoint-Ave-APT-3A-Brooklyn-NY-11222/2103455592_zpid/,https://photos.zillowstatic.com/fp/d68708e38c97940b3ca87eaf0a19f6e0-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""89 Greenpoint Ave Apt 3a, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""800""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""89 Greenpoint Ave APT 3A"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.730203,""longitude"":-73.95673},""url"":""https://www.zillow.com/homedetails/89-Greenpoint-Ave-APT-3A-Brooklyn-NY-11222/2103455592_zpid/""}",LISTING BY: HANCOCK ASSOCIATES LLC,1,800,sqft,#NAME?,Save this home
"202 Java St APT 3L, Brooklyn, NY 11222","$3,050/mo",bds,4,ba,15 days ago,https://www.zillow.com/homedetails/202-Java-St-APT-3L-Brooklyn-NY-11222/2093537165_zpid/,https://photos.zillowstatic.com/fp/ca50a31e3a303d403620811be31c9d90-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""202 Java St Apt 3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""202 Java St APT 3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.731586,""longitude"":-73.952476},""url"":""https://www.zillow.com/homedetails/202-Java-St-APT-3L-Brooklyn-NY-11222/2093537165_zpid/""}",LISTING BY: CODA REAL ESTATE NYC (917-678-7941),1,--,sqft,#NAME?,Save this home
"110 N Henry St APT 2R, Brooklyn, NY 11222","$2,575/mo",bds,3,ba,15 days ago,https://www.zillow.com/homedetails/110-N-Henry-St-APT-2R-Brooklyn-NY-11222/2100912864_zpid/,https://photos.zillowstatic.com/fp/dd4d5b535c762c9472ff6745636e26c8-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""110 N Henry St Apt 2r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""110 N Henry St APT 2R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.723025,""longitude"":-73.942837},""url"":""https://www.zillow.com/homedetails/110-N-Henry-St-APT-2R-Brooklyn-NY-11222/2100912864_zpid/""}",LISTING BY: CODA REAL ESTATE NYC (917-678-7941),1,"1,000",sqft,#NAME?,Save this home
"100 Dupont St #2R, Brooklyn, NY 11222","$3,800/mo",bds,4,ba,15 days ago,https://www.zillow.com/homedetails/100-Dupont-St-2R-Brooklyn-NY-11222/2073396483_zpid/,https://photos.zillowstatic.com/fp/c5a73190ac770e6213d93741f7171f0b-p_e.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""100 Dupont St #2r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""100 Dupont St #2R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.735459,""longitude"":-73.956096},""url"":""https://www.zillow.com/homedetails/100-Dupont-St-2R-Brooklyn-NY-11222/2073396483_zpid/""}",LISTING BY: NOOKLYN.COM LLC (516-306-7035),2,--,sqft,#NAME?,Save this home
"155 Greenpoint Ave APT 4R, Brooklyn, NY 11222","$2,400/mo",bds,2,ba,15 days ago,https://www.zillow.com/homedetails/155-Greenpoint-Ave-APT-4R-Brooklyn-NY-11222/2078120263_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""155 Greenpoint Ave Apt 4r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""550""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""155 Greenpoint Ave APT 4R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.73048,""longitude"":-73.953571},""url"":""https://www.zillow.com/homedetails/155-Greenpoint-Ave-APT-4R-Brooklyn-NY-11222/2078120263_zpid/""}",LISTING BY: INK REALTY SERVICES LLC (516-784-7367),2,550,sqft,#NAME?,Save this home
"11 Clifford Pl APT 1R, Brooklyn, NY 11222","$2,167/mo",bd,1,ba,15 days ago,https://www.zillow.com/homedetails/11-Clifford-Pl-APT-1R-Brooklyn-NY-11222/2094635312_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11 Clifford Pl Apt 1r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11 Clifford Pl APT 1R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726667,""longitude"":-73.95574},""url"":""https://www.zillow.com/homedetails/11-Clifford-Pl-APT-1R-Brooklyn-NY-11222/2094635312_zpid/""}",LISTING BY: NATIVE REAL ESTATE LLC (347-348-6137),1,--,sqft,#NAME?,Save this home
"153 India St #3C, Brooklyn, NY 11222","$2,660/mo",bd,1,ba,15 days ago,https://www.zillow.com/homedetails/153-India-St-3C-Brooklyn-NY-11222/2073403750_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""153 India St #3c, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""153 India St #3C"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.732618,""longitude"":-73.953826},""url"":""https://www.zillow.com/homedetails/153-India-St-3C-Brooklyn-NY-11222/2073403750_zpid/""}",LISTING BY: IN HAUS LLC,1,--,sqft,#NAME?,Save this home
"131 Engert Ave APT 1L, Brooklyn, NY 11222","$1,999/mo",bds,2,ba,16 days ago,https://www.zillow.com/homedetails/131-Engert-Ave-APT-1L-Brooklyn-NY-11222/2087113035_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""131 Engert Ave Apt 1l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""725""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""131 Engert Ave APT 1L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.721832,""longitude"":-73.945431},""url"":""https://www.zillow.com/homedetails/131-Engert-Ave-APT-1L-Brooklyn-NY-11222/2087113035_zpid/""}","LISTING BY: DOLORES BUONOCORE, LREB",1,725,sqft,#NAME?,Save this home
"96 Diamond St APT 1A, Brooklyn, NY 11222","$2,000/mo",bd,1,ba,16 days ago,https://www.zillow.com/homedetails/96-Diamond-St-APT-1A-Brooklyn-NY-11222/2112213686_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""96 Diamond St Apt 1a, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""650""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""96 Diamond St APT 1A"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726105,""longitude"":-73.946841},""url"":""https://www.zillow.com/homedetails/96-Diamond-St-APT-1A-Brooklyn-NY-11222/2112213686_zpid/""}",LISTING BY: DREAM SPACE REALTY (917-515-4624),1.5,650,sqft,#NAME?,Save this home
"291 Eckford St APT 3R, Brooklyn, NY 11222","$1,700/mo",bd,1,ba,17 days ago,https://www.zillow.com/homedetails/291-Eckford-St-APT-3R-Brooklyn-NY-11222/2090629909_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""291 Eckford St Apt 3r, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""415""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""291 Eckford St APT 3R"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.729038,""longitude"":-73.952053},""url"":""https://www.zillow.com/homedetails/291-Eckford-St-APT-3R-Brooklyn-NY-11222/2090629909_zpid/""}","LISTING BY: PROPER REAL ESTATE, LLC (718-389-5833)",1,415,sqft,#NAME?,Save this home
"845 Manhattan Ave #3F, Brooklyn, NY 11222","$3,100/mo",bds,3,ba,17 days ago,https://www.zillow.com/homedetails/845-Manhattan-Ave-3F-Brooklyn-NY-11222/2073550087_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""845 Manhattan Ave #3f, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""800""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""845 Manhattan Ave #3F"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.728893,""longitude"":-73.953988},""url"":""https://www.zillow.com/homedetails/845-Manhattan-Ave-3F-Brooklyn-NY-11222/2073550087_zpid/""}",LISTING BY: VORO NYC (917-900-7394),1,800,sqft,#NAME?,Save this home
"114 Huron St #2, Brooklyn, NY 11222","$2,500/mo",bds,2,ba,19 days ago,https://www.zillow.com/homedetails/114-Huron-St-2-Brooklyn-NY-11222/2096599568_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""114 Huron St #2, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""114 Huron St #2"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.73261,""longitude"":-73.956886},""url"":""https://www.zillow.com/homedetails/114-Huron-St-2-Brooklyn-NY-11222/2096599568_zpid/""}",LISTING BY: EXP REALTY NYC,1,"1,000",sqft,#NAME?,Save this home
"860 Manhattan Ave APT 2L, Brooklyn, NY 11222","$2,600/mo",bd,1,ba,19 days ago,https://www.zillow.com/homedetails/860-Manhattan-Ave-APT-2L-Brooklyn-NY-11222/2101868140_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""860 Manhattan Ave Apt 2l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""800""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""860 Manhattan Ave APT 2L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.729314,""longitude"":-73.953591},""url"":""https://www.zillow.com/homedetails/860-Manhattan-Ave-APT-2L-Brooklyn-NY-11222/2101868140_zpid/""}",LISTING BY: ERNY LLC (585-204-7696),1,800,sqft,#NAME?,Save this home
"154 Norman Ave #2C, Brooklyn, NY 11222","$2,200/mo",bd,1,ba,19 days ago,https://www.zillow.com/homedetails/154-Norman-Ave-2C-Brooklyn-NY-11222/2073578950_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""154 Norman Ave #2c, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""154 Norman Ave #2C"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.726415,""longitude"":-73.948145},""url"":""https://www.zillow.com/homedetails/154-Norman-Ave-2C-Brooklyn-NY-11222/2073578950_zpid/""}",LISTING BY: NORTHSIDE PLAZA INC.,2,--,sqft,#NAME?,Save this home
"140 Newel St #1B, Brooklyn, NY 11222","$2,500/mo",bd,1,ba,20 days ago,https://www.zillow.com/homedetails/140-Newel-St-1B-Brooklyn-NY-11222/2073592215_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""140 Newel St #1b, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""140 Newel St #1B"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727178,""longitude"":-73.948433},""url"":""https://www.zillow.com/homedetails/140-Newel-St-1B-Brooklyn-NY-11222/2073592215_zpid/""}",LISTING BY: DOUGLAS ELLIMAN (718-486-4491),1.5,--,sqft,#NAME?,Save this home
"1007 Manhattan Ave #3L, Brooklyn, NY 11222","$2,300/mo",bd,1,ba,20 days ago,https://www.zillow.com/homedetails/1007-Manhattan-Ave-3L-Brooklyn-NY-11222/2073593408_zpid/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1007 Manhattan Ave #3l, Brooklyn, NY 11222"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""675""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1007 Manhattan Ave #3L"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11222""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.733394,""longitude"":-73.955104},""url"":""https://www.zillow.com/homedetails/1007-Manhattan-Ave-3L-Brooklyn-NY-11222/2073593408_zpid/""}",LISTING BY: REALTY COLLECTIVE (718-834-1440),1,675,sqft,#NAME?,Save this home
